2025-08-18 16:33:13 - trading_system - ERROR - ERROR: 'status'
2025-08-18 17:11:01 - trading_system - INFO - Backtest completado para DOTUSDT: Return: -0.21%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:11:01 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 9.34%, Trades: 2, Win Rate: 100.0%
2025-08-18 17:11:02 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:11:02 - trading_system - INFO - Backtest completado para BNBUSDT: Return: -3.36%, Trades: 2, Win Rate: 0.0%
2025-08-18 17:11:02 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 6.00%, Trades: 4, Win Rate: 100.0%
2025-08-18 17:11:02 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:49:59 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:50:41 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:50:54 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 5.93%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:51:51 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
